FID,id,knoopid,volgnr,nodeid,geoid,netwerkid,netwerk,nettype,beschr,startdate,stopdate,geom,codetype
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d67,123006891,6891,36,6864,27769465,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.815112756489497 50.75003731849744),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d66,123006890,6890,35,6863,27769964,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8253628570437486 50.74931890974167),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d65,123006889,6889,34,6862,27769493,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.827545399602954 50.7458536825693),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d64,123006888,6888,33,6861,27770087,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8324644986447227 50.74583717824351),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d63,123006886,6886,31,6859,27769467,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8321826349662746 50.74621990728268),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d62,123006887,6887,32,6860,27769926,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8443189998405076 50.748802002170386),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d61,123006906,6906,51,6879,27770035,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7976903750420687 50.7518062188323),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d60,123006907,6907,52,6880,27770370,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.805223947469586 50.75307723362694),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d5f,123006908,6908,53,6881,27769445,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.810782639444162 50.75157843649846),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d5e,123006909,6909,54,6882,27770815,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.808574568079287 50.75609907759948),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d5d,123005673,5673,10,5630,27769812,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.736772307571251 50.7831955291905),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d5c,123006910,6910,55,6883,27769816,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8059144753625165 50.75692808218348),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d5b,123006904,6904,49,6877,27770429,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7892209580417395 50.752830084657056),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d5a,123006903,6903,48,6876,27770534,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7841016530932845 50.74836516128637),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d59,123006902,6902,47,6875,27770210,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7848479282591603 50.74435125079115),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d58,123006900,6900,45,6873,27769558,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.791693874382919 50.74408257958168),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d57,123006899,6899,44,6872,27770019,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.791914861805381 50.74411636229269),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d56,123006905,6905,50,6878,27769487,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7996532955372606 50.74816654170149),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d55,123006901,6901,46,6874,27769557,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7922295479776222 50.739192252885616),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d54,123006896,6896,41,6869,27770116,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.801505528800772 50.738191731964534),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d53,123006897,6897,42,6870,27770206,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.803800941983585 50.74330988997834),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d52,123006898,6898,43,6871,27769624,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.800456115793052 50.74353889653094),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d51,123006911,6911,56,6884,27769822,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.728107824308428 50.806836529561586),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d50,127006913,6913,31,6886,27769673,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.025854272729029 50.99403987296199),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d4f,123006915,6915,57,6888,27769210,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.723114025462751 50.79856296008195),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d4e,123006914,6914,58,6887,27769853,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.731864742442859 50.79959346694012),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d4d,123006916,6916,60,6889,27770127,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7553073712779943 50.778783519255825),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d4c,123006919,6919,61,6890,27769506,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7472903095769996 50.780557219120475),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d4b,123006917,6917,62,6891,27769473,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.745056154598079 50.780582950179706),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d4a,123006918,6918,63,6892,27770012,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7426818508972235 50.77985018047337),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d49,123006920,6920,65,6894,27770031,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7571648570156713 50.786990927537964),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d48,123006921,6921,64,6893,27769939,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.754019790750337 50.79000425978329),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d47,123006922,6922,1,6895,27770484,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7458913673179204 50.797798829390594),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d46,123005706,5706,25,5663,27769724,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7586113862283383 50.78929841070225),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d45,123006923,6923,15,6896,27769212,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7483696202688632 50.795138742975375),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d44,123005708,5708,24,5665,27770261,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7577103486420187 50.790234010358745),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d43,123006925,6925,6,5629,27769857,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.74000493520436 50.79256789858121),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d42,123006924,6924,7,5621,27769884,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7423699761150573 50.79082438087421),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d41,123006926,6926,17,6897,27770541,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7570703492457147 50.797940664269156),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d40,123006927,6927,2,6898,27769498,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7457233589180436 50.798687085439575),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d3f,123006928,6928,16,6899,27770172,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.753621217971735 50.80266580346363),NETWERK
