FID,id,knoopid,volgnr,nodeid,geoid,netwerkid,netwerk,nettype,beschr,startdate,stopdate,geom,codetype
knoop_full_export.fid--16c1f25b_14b3a583521_20d8,123006891,6891,36,6864,29033550,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.815112756489497 50.75003731849744),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20d9,123006890,6890,35,6863,29034060,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8253628570437486 50.74931890974167),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20da,123006889,6889,34,6862,29033469,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.827545399602954 50.7458536825693),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20db,123006888,6888,33,6861,29033717,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8324644986447227 50.74583717824351),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20dc,123006886,6886,31,6859,29033552,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8321826349662746 50.74621990728268),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20dd,123006887,6887,32,6860,29033337,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8443189998405076 50.748802002170386),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20de,123006906,6906,51,6879,29034432,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7976903750420687 50.7518062188323),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20df,123006907,6907,52,6880,29034338,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.805223947469586 50.75307723362694),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20e0,123006908,6908,53,6881,29033541,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.810782639444162 50.75157843649846),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20e1,123006909,6909,54,6882,29034987,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.808574568079287 50.75609907759948),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20e2,123005673,5673,10,5630,29034045,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.736772307571251 50.7831955291905),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20e3,123006910,6910,55,6883,29034308,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8059144753625165 50.75692808218348),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20e4,123006904,6904,49,6877,29034170,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7892209580417395 50.752830084657056),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20e5,123006903,6903,48,6876,29034715,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7841016530932845 50.74836516128637),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20e6,123006902,6902,47,6875,29034093,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7848479282591603 50.74435125079115),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20e7,123006900,6900,45,6873,29034423,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.791693874382919 50.74408257958168),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20e8,123006899,6899,44,6872,29033387,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.791914861805381 50.74411636229269),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20e9,123006905,6905,50,6878,29033467,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.799653295537261 50.74816654170147),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20ea,123006901,6901,46,6874,29034422,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7922295479776222 50.739192252885616),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20eb,123006896,6896,41,6869,29033465,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.801505528800772 50.738191731964534),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20ec,123006897,6897,42,6870,29033340,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.803800941983585 50.74330988997834),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20ed,123006898,6898,43,6871,29034033,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.800456115793052 50.74353889653094),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20ee,123006911,6911,56,6884,29033917,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.728107824308428 50.806836529561586),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20ef,127006913,6913,31,6886,29034089,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.025854272729029 50.99403987296199),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20f0,123006915,6915,57,6888,29034031,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.723114025462751 50.79856296008195),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20f1,123006914,6914,58,6887,29033863,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.731864742442859 50.79959346694012),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20f2,123006916,6916,60,6889,29034231,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7553073712779943 50.778783519255825),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20f3,123006919,6919,61,6890,29034187,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7472903095769996 50.780557219120475),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20f4,123006917,6917,62,6891,29033554,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.745056154598079 50.780582950179706),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20f5,123006918,6918,63,6892,29034635,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7426818508972235 50.77985018047337),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20f6,123006920,6920,65,6894,29033504,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7571648570156713 50.786990927537964),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20f7,123006921,6921,64,6893,29034266,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.754019790750337 50.79000425978329),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20f8,123006922,6922,1,6895,29034665,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7458913673179204 50.797798829390594),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20f9,123005706,5706,25,5663,29033968,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7586113862283383 50.78929841070225),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20fa,123006923,6923,15,6896,29034259,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7483696202688632 50.795138742975375),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20fb,123005708,5708,24,5665,29034162,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7577103486420187 50.790234010358745),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20fc,123006925,6925,6,5629,29034590,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.74000493520436 50.79256789858121),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20fd,123006924,6924,7,5621,29033940,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7423699761150573 50.79082438087421),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20fe,123006926,6926,17,6897,29034722,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7570703492457147 50.797940664269156),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_20ff,123006927,6927,2,6898,29033473,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7457233589180436 50.798687085439575),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2100,123006928,6928,16,6899,29033976,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.753621217971735 50.80266580346363),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2101,123006929,6929,19,6900,29034923,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.75365557395058 50.79511608272063),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2102,123005716,5716,14,5673,29034613,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.74466893547911 50.786963084205425),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2103,123006930,6930,18,6901,29033666,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7601294933464806 50.797300134721176),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2104,123006931,6931,12,6902,29034815,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7647320176674066 50.796170959945286),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2105,123006932,6932,28,6903,29034301,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.765987480739988 50.794761439495616),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2106,123006933,6933,29,6905,29034804,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.766972688259252 50.79404675319392),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2107,123006934,6934,13,6904,29034805,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.770911429556659 50.79501702863409),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2108,123005722,5722,37,5679,29033756,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7585359559427642 50.784532979213466),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2109,123005723,5723,40,5681,29034946,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7551726857657135 50.78190582921628),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_210a,123005724,5724,41,5682,29034914,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.755538486720261 50.77990835462774),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_210b,123006935,6935,10,6906,29033377,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7574923852895563 50.79339702564436),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_210c,123005725,5725,62,5683,29033902,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.758208297446825 50.77327493886955),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_210d,123006936,6936,11,6907,29034281,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7595107731558963 50.79164590008964),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_210e,123006937,6937,26,6908,29034794,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7619901878749284 50.79040143666415),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_210f,123006938,6938,27,6909,29034689,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7644660276387083 50.790458690344074),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2110,123006939,6939,31,6910,29033419,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7642796536387357 50.788257277115754),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2111,123006940,6940,32,6911,29033676,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.763745044185757 50.78769336638505),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2112,123005732,5732,52,5692,29034264,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.781883766633591 50.796025410536636),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2113,123005733,5733,48,5693,29034798,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7754024926456164 50.789991484020504),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2114,123005735,5735,71,5695,29034306,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7723660124156146 50.79481838044089),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2115,123005736,5736,70,5696,29033967,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7810706259504485 50.796788566257604),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2116,123006941,6941,34,6912,29034768,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7621179305844503 50.78655077007347),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2117,123006942,6942,47,6913,29034228,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.763484264900674 50.78614204841174),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2118,123006943,6943,22,6914,29033977,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7558449095239026 50.791700932284584),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2119,123006951,6951,36,6922,29034678,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7587817668415258 50.784834527899164),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_211a,123006950,6950,39,6921,29034095,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7533511436631524 50.78433598971084),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_211b,123006949,6949,38,6920,29034646,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7573772525948286 50.78511050034331),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_211c,123006948,6948,35,6919,29033485,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.75914867866743 50.78561118792585),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_211d,123006947,6947,33,6918,29033958,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.760992326214286 50.787861035211215),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_211e,123006945,6945,21,6916,29034221,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.753108042625827 50.789660871156975),NETWERK
