XCoord;YCoord;NETWERKID;NETWERK;PID;STATUS;STARTCODE;ENDCODE
358755,35583536;6581493,79222743;126;Fietsnetwerk Leiestreek;6360-6360;NIV;#N/A;K1
358949,72989854;6580008,59156359;126;Fietsnetwerk Leiestreek;6360-6365;FIX;K1;K6
363491,69152002;6582413,08158932;126;Fietsnetwerk Leiestreek;6342-6365;FIX;K6;KL
368987,44737068;6579732,25881840;126;Fietsnetwerk Leiestreek;6342-6361;FIX;KL;K2
371345,75631815;6576901,52573493;126;Fietsnetwerk Leiestreek;6361-6403;FIX;K2;L6
370962,56764557;6573172,13954218;126;Fietsnetwerk Leiestreek;6403-6407;FIX;L6;MA
371202,62825360;6567565,74968484;126;Fietsnetwerk Leiestreek;6398-6407;FIX;MA;L1
368965,56757705;6565710,07741898;126;Fietsnetwerk Leiestreek;6396-6398;FIX;L1;LZ
370123,01764635;6567324,63810762;126;Fietsnetwerk Leiestreek;6394-6396;FIX;LZ;LX
371723,77762835;6568781,56796376;126;Fietsnetwerk Leiestreek;6394-6395;FIX;LX;LY
372218,66833990;6568637,23940860;126;Fietsnetwerk Leiestreek;6395-6413;FIX;LY;MF
372481,12324877;6569058,63599534;126;Fietsnetwerk Leiestreek;6413-6425;FIX;MF;MR
375841,04513265;6570611,08472916;126;Fietsnetwerk Leiestreek;6415-6425;FIX;MR;MH
380768,05166506;6573716,29205972;126;Fietsnetwerk Leiestreek;6411-6415;FIX;MH;ME
381463,68008179;6579251,44166516;126;Fietsnetwerk Leiestreek;6368-6411;FIX;ME;L9
381164,83739226;6581960,03608627;126;Fietsnetwerk Leiestreek;6367-6368;FIX;L9;K8
380221,30903711;6583719,55124857;126;Fietsnetwerk Leiestreek;6366-6367;FIX;K8;K7
380727,27964168;6585430,53238706;126;Fietsnetwerk Leiestreek;6366-6366;NIV;K7;#N/A
389668,26157736;6560087,54572880;126;Fietsnetwerk Leiestreek;6480-6480;NIV;#N/A;OA
389812,24120728;6557712,83381077;126;Fietsnetwerk Leiestreek;6480-6484;FIX;OA;OE
390485,17712481;6554032,99727890;126;Fietsnetwerk Leiestreek;6484-6485;FIX;OE;OF
390728,90348559;6552034,90869749;126;Fietsnetwerk Leiestreek;6485-6486;FIX;OF;OG
390041,87616077;6551907,73586158;126;Fietsnetwerk Leiestreek;6486-6486;NIV;OG;#N/A
373587,27430183;6538170,61100721;126;Fietsnetwerk Leiestreek;6542-6542;NIV;#N/A;PZ
373854,41609053;6540181,56282684;126;Fietsnetwerk Leiestreek;6536-6542;FIX;PZ;PT
370927,05142969;6544435,69050879;126;Fietsnetwerk Leiestreek;6520-6536;FIX;PT;PD
371103,02176885;6548604,58461202;126;Fietsnetwerk Leiestreek;6519-6520;FIX;PD;PC
369042,67847814;6551108,52338486;126;Fietsnetwerk Leiestreek;6508-6519;FIX;PC;O3
365327,20886699;6552165,64042906;126;Fietsnetwerk Leiestreek;6504-6508;FIX;O3;OZ
363624,16800889;6551476,87788652;126;Fietsnetwerk Leiestreek;6503-6504;FIX;OZ;OY
361980,06927174;6553154,87638692;126;Fietsnetwerk Leiestreek;6501-6503;FIX;OY;OW
360506,34835153;6554397,12043928;126;Fietsnetwerk Leiestreek;6468-6501;FIX;OW;NY
362564,96631457;6556504,18015793;126;Fietsnetwerk Leiestreek;6456-6468;FIX;NY;NM
366866,90475197;6557330,76001487;126;Fietsnetwerk Leiestreek;6455-6456;FIX;NM;NL
369329,49998138;6557322,95470738;126;Fietsnetwerk Leiestreek;6453-6455;FIX;NL;NJ
366286,88101463;6558158,69434666;126;Fietsnetwerk Leiestreek;6452-6453;FIX;NJ;NI
364495,60881175;6557698,13935964;126;Fietsnetwerk Leiestreek;6452-6456;FIX;NI;NM
372639,09538261;6556465,57864275;126;Fietsnetwerk Leiestreek;6477-6477;NIV;#N/A;N7
372323,47243563;6556990,19368917;126;Fietsnetwerk Leiestreek;6476-6477;FIX;N7;N6
371171,63213363;6558331,17561473;126;Fietsnetwerk Leiestreek;6466-6476;FIX;N6;NW
369959,77669411;6558265,03531574;126;Fietsnetwerk Leiestreek;6454-6466;FIX;NW;NK
369923,37012148;6557612,71594991;126;Fietsnetwerk Leiestreek;6454-6454;NIV;NK;#N/A
374146,38166132;6553694,65195102;126;Fietsnetwerk Leiestreek;6515-6515;NIV;#N/A;O8
375794,85235077;6550023,76822520;126;Fietsnetwerk Leiestreek;6515-6516;FIX;O8;O9
376452,25126225;6549334,33498306;126;Fietsnetwerk Leiestreek;6516-6534;FIX;O9;PR
376282,37112605;6550039,43326494;126;Fietsnetwerk Leiestreek;6534-6535;FIX;PR;PS
375561,25582780;6551062,07499889;126;Fietsnetwerk Leiestreek;6513-6535;FIX;PS;O6
374727,46345982;6552031,04919049;126;Fietsnetwerk Leiestreek;6513-6514;FIX;O6;O7
373223,94433883;6554165,72178873;126;Fietsnetwerk Leiestreek;6510-6514;FIX;O7;O5
371080,47509254;6554932,45754810;126;Fietsnetwerk Leiestreek;6509-6510;FIX;O5;O4
372590,11498138;6551970,35405958;126;Fietsnetwerk Leiestreek;6509-6518;FIX;O4;PB
374657,91927908;6549852,31748305;126;Fietsnetwerk Leiestreek;6518-6518;NIV;PB;#N/A
371863,24039300;6581536,93237479;126;Fietsnetwerk Leiestreek;6341-6341;NIV;#N/A;KK
369957,06361033;6581989,06800920;126;Fietsnetwerk Leiestreek;6341-6342;FIX;KK;KL
373229,73470337;6582951,85527175;126;Fietsnetwerk Leiestreek;6340-6340;NIV;#N/A;KJ
374657,84593008;6584100,85838339;126;Fietsnetwerk Leiestreek;6339-6340;FIX;KJ;KI
375994,32597171;6584598,62366219;126;Fietsnetwerk Leiestreek;6338-6339;FIX;KI;KH
383417,14432338;6576913,04372075;126;Fietsnetwerk Leiestreek;6411-6411;NIV;#N/A;ME
382640,47664036;6576388,03156528;126;Fietsnetwerk Leiestreek;6410-6411;FIX;ME;MD
379425,72592094;6575786,35440782;126;Fietsnetwerk Leiestreek;6408-6410;FIX;MD;MB
376163,43026994;6577403,48211919;126;Fietsnetwerk Leiestreek;6404-6408;FIX;MB;L7
