XCoord;YCoord;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
358755,34648500;6581493,79165173;126;6360-6360;NIV;#N/A;K1
358949,72989854;6580008,59156359;126;6360-6365;FIX;K2;K7
363491,69152002;6582413,08158932;126;6342-6365;DEL;K7;KM
368987,44737068;6579732,25881840;126;6342-6361;DEL;KM;K3
371345,75631815;6576901,52573493;126;6361-6403;FIX;K3;L7
370962,53233995;6573172,19158955;126;6403-6407;DEL;L7;MB
371202,62825360;6567565,74968484;126;6398-6407;DEL;MB;L2
368965,56757705;6565710,07741898;126;6396-6398;FIX;L2;L0
370123,01764635;6567324,63810762;126;6394-6396;DEL;L0;LY
371723,77762835;6568781,56796376;126;6394-6395;DEL;LY;LZ
372218,66833990;6568637,23940860;126;6395-6413;FIX;LZ;MG
372481,12324877;6569058,63599534;126;6413-6425;FIX;MG;MS
375841,04513265;6570611,08472916;126;6415-6425;FIX;MS;MI
380768,05166506;6573716,29205972;126;6411-6415;DEL;MI;MF
381164,83739226;6581960,03608627;126;6367-6368;DEL;LA;K9
380727,27964168;6585430,53238706;126;6366-6366;NIV;K7;#N/A
389668,26157736;6560087,54572880;126;6480-6480;NIV;#N/A;OB
389812,24120728;6557712,83381077;126;6480-6484;FIX;OB;OF
390485,17712481;6554032,99727890;126;6484-6485;DEL;OF;OG
390791,98049376;6552032,21069245;126;6485-6486;FIX;OG;OH
390041,87616077;6551907,73586158;126;6486-6486;NIV;OH;#N/A
373587,27430183;6538170,61100721;126;6542-6542;NIV;#N/A;PZ
373854,41609053;6540181,56282684;126;6536-6542;FIX;PZ;PT
370927,05142969;6544435,69050879;126;6520-6536;FIX;PT;PD
371103,02176885;6548604,58461202;126;6519-6520;FIX;PD;PC
369042,67847814;6551108,52338486;126;6508-6519;FIX;PC;O3
365327,20886699;6552165,64042906;126;6504-6508;FIX;O3;OZ
363624,16800889;6551476,87788652;126;6503-6504;FIX;OZ;OY
361980,06927174;6553154,87638692;126;6501-6503;DEL;OY;OW
360506,34835153;6554397,12043928;126;6468-6501;FIX;OW;NZ
362565,00511688;6556504,11586832;126;6456-6468;DEL;NZ;NN
366868,05119156;6557330,67047856;126;6455-6456;DEL;NN;NM
369329,49998138;6557322,95470738;126;6453-6455;DEL;NM;NK
366286,88101463;6558158,69434666;126;6452-6453;DEL;NK;NJ
364495,60881175;6557698,13935964;126;6452-6456;DEL;NJ;NN
372639,09538261;6556465,57864275;126;6477-6477;NIV;#N/A;N8
372323,47243563;6556990,19368917;126;6476-6477;DEL;N8;N7
371171,63213363;6558331,17561473;126;6466-6476;FIX;N7;NX
369959,77669411;6558265,03531574;126;6454-6466;DEL;NX;NL
369923,37012148;6557612,71594991;126;6454-6454;NIV;NL;#N/A
374146,38166132;6553694,65195102;126;6515-6515;NIV;#N/A;O8
375794,85235077;6550023,76822520;126;6515-6516;FIX;O8;O9
376452,25126225;6549334,33498306;126;6516-6534;FIX;O9;PR
376282,37112605;6550039,43326494;126;6534-6535;FIX;PR;PS
375561,25582780;6551062,07499889;126;6513-6535;FIX;PS;O6
374727,46345982;6552031,04919049;126;6513-6514;FIX;O6;O7
373223,94433883;6554165,72178873;126;6510-6514;DEL;O7;O5
371080,47509254;6554932,45754810;126;6509-6510;FIX;O5;O4
372590,11498138;6551970,35405958;126;6509-6518;FIX;O4;PB
374657,91927908;6549852,31748305;126;6518-6518;NIV;PB;#N/A
371863,24039300;6581536,93237479;126;6341-6341;NIV;#N/A;KL
369957,06361033;6581989,06800920;126;6341-6342;FIX;KL;KM
373229,73470337;6582951,85527175;126;6340-6340;NIV;#N/A;KK
374657,84593008;6584100,85838339;126;6339-6340;FIX;KK;KJ
375984,76205588;6584588,85262766;126;6338-6339;FIX;KJ;KI
383417,14432338;6576913,04372075;126;6411-6411;NIV;#N/A;ME
382640,47664036;6576388,03156528;126;6410-6411;FIX;MF;ME
379425,72592094;6575786,35440782;126;6408-6410;DEL;ME;MC
376163,43026994;6577403,48211919;126;6404-6408;FIX;MC;L8
374998,08785392;6578290,49484383;126;6371-6404;FIX;L8;LC
376935,48578401;6579760,63334073;126;6370-6371;DEL;LC;LB
379493,64056897;6581288,53948151;126;6368-6370;DEL;LB;LA
387492,22181122;6549316,13049845;126;6489-6489;NIV;#N/A;OK
387161,51366475;6553198,02755702;126;6483-6489;DEL;OK;OE
385672,86140683;6555912,02782932;126;6483-6497;FIX;OE;OS
383420,58808563;6558780,68695339;126;6497-6498;FIX;OS;OT
380884,13431769;6561814,18747600;126;6473-6498;FIX;OT;N4
378895,98117596;6563465,19061411;126;6422-6473;FIX;N4;MP
379072,88674087;6566432,44199795;126;6420-6422;FIX;MP;MN
380350,80120579;6567219,94408759;126;6419-6420;FIX;MN;MM
