XCoord;YCoord;FID;KNOOPID;VOLGNR;NETWERKID;CODE;STATUS;LON_X;LAT_Y
324440,23636787;6621771,45729192;0;5959;51;125;AA;IN;2,914496;51,190657
327241,45302727;6620852,45469073;1;5960;20;125;AB;IN;2,939660;51,185469
327149,92797859;6619668,05224245;2;5961;53;125;AC;IN;2,938838;51,178781
333339,24985812;6621149,05349166;3;5962;54;125;AD;IN;2,994437;51,187143
329195,54477716;6624463,95743173;4;5963;11;125;AE;IN;2,957214;51,205853
326808,14485130;6626430,06614192;5;5964;2;125;AF;IN;2,935768;51,216946
325568,44429510;6627792,84294446;6;5965;1;125;AG;IN;2,924631;51,224634
333055,68387507;6627736,35937536;7;5969;26;125;AJ;IN;2,991890;51,224316
339097,93832916;6632966,74687586;8;5971;13;125;AK;IN;3,046169;51,253810
337807,87999928;6635140,93145475;9;5972;7;125;AL;IN;3,034580;51,266064
337716,21060720;6636266,75553558;10;5973;6;125;AM;IN;3,033756;51,272408
332781,12075651;6631343,94655142;11;5974;5;125;AN;IN;2,989424;51,244661
327448,43145224;6627812,13534864;12;5976;3;125;AO;IN;2,941519;51,224743
334436,63464213;6629025,96434045;13;5977;12;125;AP;IN;3,004295;51,231589
341483,27912458;6639259,45580543;14;5978;9;125;AQ;IN;3,067596;51,289269
347068,24005066;6639758,67506783;15;5979;10;125;AR;IN;3,117767;51,292081
347614,04255290;6639986,28224571;16;5980;30;125;AS;IN;3,122670;51,293363
349553,15356058;6639929,24720173;17;5981;29;125;AT;IN;3,140089;51,293041
349899,74203359;6642263,69162759;18;5982;26;125;AU;IN;3,143203;51,306188
352703,50716988;6639562,96608007;19;5983;28;125;AV;IN;3,168390;51,290978
354364,40157993;6639426,86047443;20;5984;27;125;AW;IN;3,183310;51,290212
351833,93277749;6645180,01125841;21;5985;33;125;AX;IN;3,160578;51,322606
349013,56767560;6643520,38141663;22;5986;32;125;AY;IN;3,135242;51,313263
348625,33702191;6643320,84672774;23;5987;31;125;AZ;IN;3,131755;51,312140
359292,93661465;6648203,94943391;24;5988;36;125;A0;IN;3,227583;51,339623
360824,10077775;6643807,40254210;25;5989;38;125;A1;IN;3,241338;51,314879
364203,79573647;6645664,11317669;26;5991;40;125;A3;IN;3,271698;51,325330
363607,97070762;6646002,99889627;27;5990;39;125;A2;IN;3,266346;51,327238
366180,56750362;6649435,27852273;28;5992;42;125;A4;IN;3,289456;51,346551
362313,05170156;6648823,99830179;29;5993;37;125;A5;IN;3,254714;51,343112
368864,58626479;6647989,01499312;30;5995;43;125;A7;IN;3,313567;51,338414
368484,48307600;6645429,96342186;31;5996;44;125;A8;IN;3,310152;51,324013
370193,53730895;6644696,15854394;32;5997;47;125;A9;IN;3,325505;51,319882
373672,73442026;6647243,90279956;33;6004;52;125;BE;IN;3,356759;51,334221
331124,47111547;6613674,76572792;34;6006;32;125;BG;IN;2,974542;51,144929
332697,55046863;6611986,82286729;35;6007;34;125;BH;IN;2,988673;51,135390
325806,04485567;6610732,83814853;36;6009;24;127;BJ;FIX;2,926765;51,128302
327816,42532648;6607798,35197708;37;6010;26;127;BK;FIX;2,944825;51,111712
331045,96629146;6603818,37248762;38;6011;29;127;BL;FIX;2,973837;51,089201
339078,01871686;6614707,47702189;39;6014;41;125;BO;IN;3,045990;51,150764
343115,90386456;6612946,63365130;40;6015;55;125;BP;IN;3,082263;51,140814
343997,74931888;6617469,09143718;41;6016;51;125;BQ;IN;3,090184;51,166364
344989,64159981;6617475,07590783;42;6017;54;125;BR;IN;3,099095;51,166397
338464,22734957;6620318,70231251;43;6019;44;125;BT;IN;3,040476;51,182455
338477,69570799;6618979,20633146;44;6020;45;125;BU;IN;3,040597;51,174892
337559,55643098;6618537,96358346;45;6021;38;125;BV;IN;3,032349;51,172400
334381,69427682;6625176,90599693;46;6023;29;125;BX;IN;3,003802;51,209876
334433,58884742;6625144,61531926;47;6024;42;125;BY;IN;3,004268;51,209694
333453,07090071;6621261,96686459;48;6025;30;125;BZ;IN;2,995460;51,187780
334665,30280145;6620740,71757529;49;6026;43;125;B0;IN;3,006350;51,184838
345340,67760066;6621562,61217602;50;6027;50;125;B1;IN;3,102248;51,189478
343276,40310764;6624058,42800790;51;6028;49;125;B2;IN;3,083704;51,203565
338355,11436647;6623526,50386995;52;6029;47;125;B3;IN;3,039496;51,200563
333820,33945647;6625994,88122903;53;6030;28;125;B4;IN;2,998759;51,214491
334427,40616815;6625318,85330805;54;6031;27;125;B5;IN;3,004213;51,210677
343283,09905911;6624140,20575822;55;6032;52;125;B6;IN;3,083765;51,204026
347946,96178058;6625026,02180804;56;6033;56;125;B7;IN;3,125661;51,209025
342488,67027953;6623919,11976214;57;6034;48;125;B8;IN;3,076628;51,202778
338507,50579014;6623621,29117434;58;6035;25;125;B9;IN;3,040865;51,201098
347265,76555624;6628741,11936554;59;6036;21;125;CA;IN;3,119541;51,229983
342683,29114009;6627870,59112986;60;6037;22;125;CB;IN;3,078376;51,225073
341991,56589832;6625902,32980872;61;6038;23;125;CC;IN;3,072163;51,213969
338856,05155734;6624895,25964303;62;6039;24;125;CD;IN;3,043996;51,208287
347062,16129191;6629580,31212993;63;6040;20;125;CE;IN;3,117712;51,234716
353266,69039048;6626443,87868859;64;6042;64;125;CG;IN;3,173449;51,217024
351498,30048621;6628967,47058338;65;6041;58;125;CF;IN;3,157563;51,231259
351448,72072086;6633173,05012270;66;6043;61;125;CH;IN;3,157118;51,254972
351215,86571453;6633519,74180135;67;6044;19;125;CI;IN;3,155026;51,256927
347747,85689543;6637067,24385809;68;6045;15;125;CJ;IN;3,123872;51,276919
351777,42767479;6635214,52167264;69;6046;18;125;CK;IN;3,160070;51,266479
354641,61537081;6630818,01776529;70;6048;41;125;CM;IN;3,185800;51,241695
353709,53822385;6632780,52980163;71;6050;40;125;CO;IN;3,177427;51,252760
361461,64847026;6632672,35143953;72;6051;12;125;CP;IN;3,247065;51,252150
363223,31728949;6630158,82663214;73;6052;10;125;CQ;IN;3,262891;51,237978
366437,18904300;6635403,12013124;74;6054;25;125;CS;IN;3,291761;51,267542
365129,37336378;6632718,07102729;75;6053;13;125;CR;IN;3,280013;51,252408
365748,76384041;6636355,13390830;76;6055;21;125;CT;IN;3,285577;51,272906
364277,60157375;6634444,80605320;77;6056;23;125;CU;IN;3,272361;51,262141
361667,17470203;6633064,65685699;78;6057;11;125;CV;IN;3,248912;51,254361
364226,98064525;6638275,09944810;79;6059;41;125;CX;IN;3,271907;51,283724
365236,44109634;6637097,54934186;80;6058;22;125;CW;IN;3,280975;51,277090
