XCoord;YCoord;FID;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
358949,72989854;6580008,59156359;0;126;6360-6365;FIX;K2;K7
371345,75631815;6576901,52573493;1;126;6361-6403;FIX;K3;L7
368965,56757705;6565710,07741898;2;126;6396-6398;FIX;L2;L0
372218,66833990;6568637,23940860;3;126;6395-6413;FIX;LZ;MG
372481,12324877;6569058,63599534;4;126;6413-6425;FIX;MG;MS
375841,04513265;6570611,08472916;5;126;6415-6425;FIX;MS;MI
389812,24120728;6557712,83381077;6;126;6480-6484;FIX;OB;OF
390791,98049376;6552032,21069245;7;126;6485-6486;FIX;OG;OH
373854,41609053;6540181,56282684;8;126;6536-6542;FIX;PZ;PT
370927,05142969;6544435,69050879;9;126;6520-6536;FIX;PT;PD
371103,02176885;6548604,58461202;10;126;6519-6520;FIX;PD;PC
369042,67847814;6551108,52338486;11;126;6508-6519;FIX;PC;O3
365327,20886699;6552165,64042906;12;126;6504-6508;FIX;O3;OZ
363624,16800889;6551476,87788652;13;126;6503-6504;FIX;OZ;OY
360506,34835153;6554397,12043928;14;126;6468-6501;FIX;OW;NZ
371171,63213363;6558331,17561473;15;126;6466-6476;FIX;N7;NX
375794,85235077;6550023,76822520;16;126;6515-6516;FIX;O8;O9
376452,25126225;6549334,33498306;17;126;6516-6534;FIX;O9;PR
376282,37112605;6550039,43326494;18;126;6534-6535;FIX;PR;PS
375561,25582780;6551062,07499889;19;126;6513-6535;FIX;PS;O6
374727,46345982;6552031,04919049;20;126;6513-6514;FIX;O6;O7
371080,47509254;6554932,45754810;21;126;6509-6510;FIX;O5;O4
372590,11498138;6551970,35405958;22;126;6509-6518;FIX;O4;PB
369957,06361033;6581989,06800920;23;126;6341-6342;FIX;KL;KM
374657,84593008;6584100,85838339;24;126;6339-6340;FIX;KK;KJ
375984,76205588;6584588,85262766;25;126;6338-6339;FIX;KJ;KI
382640,47664036;6576388,03156528;26;126;6410-6411;FIX;MF;ME
376163,43026994;6577403,48211919;27;126;6404-6408;FIX;MC;L8
374998,08785392;6578290,49484383;28;126;6371-6404;FIX;L8;LC
385672,86140683;6555912,02782932;29;126;6483-6497;FIX;OE;OS
383420,58808563;6558780,68695339;30;126;6497-6498;FIX;OS;OT
380884,13431769;6561814,18747600;31;126;6473-6498;FIX;OT;N4
378895,98117596;6563465,19061411;32;126;6422-6473;FIX;N4;MP
379072,88674087;6566432,44199795;33;126;6420-6422;FIX;MP;MN
380350,80120579;6567219,94408759;34;126;6419-6420;FIX;MN;MM
351756,23763168;6579392,86752124;35;126;6358-6359;FIX;K1;K0
359899,05899735;6556197,10046759;36;126;6437-6451;FIX;NI;M4
365029,27201976;6559872,82755385;37;126;6399-6436;FIX;M3;L3
369015,49188103;6562121,78164319;38;126;6463-6464;FIX;NV;NU
368972,32240967;6560263,04100593;39;126;6463-6465;FIX;NU;NW
369469,58052028;6559324,29937957;40;126;6465-6466;FIX;NW;NX
351991,16576669;6557011,00637627;41;126;6444-6445;FIX;NC;NB
352651,53796930;6558263,96590952;42;126;6433-6444;FIX;NB;M0
354108,26845764;6559578,99751528;43;126;6432-6433;FIX;M0;MZ
348102,90646641;6568619,26394646;44;126;6382-6383;FIX;LM;LN
347769,77939594;6558035,94957182;45;126;6434-6443;FIX;M1;NA
347464,06791837;6556566,79404443;46;126;6441-6443;FIX;NA;M8
345252,40776663;6560737,89532725;47;126;6428-6442;FIX;M9;MV
342665,92944990;6560640,59185245;48;126;6428-6429;FIX;MV;MW
353839,14363175;6552565,94905722;49;126;6500-6502;FIX;OX;OV
374413,48716413;6542702,42456262;50;126;6536-6537;FIX;PU;PT
377162,08726570;6544728,95787759;51;126;6537-6543;FIX;PU;P0
379223,46147240;6544883,12504560;52;126;6541-6543;FIX;P0;PY
380854,40616258;6543662,30263771;53;126;6540-6541;FIX;PY;PX
381386,57389415;6545701,77157347;54;126;6539-6540;FIX;PX;PW
381485,05177199;6547760,15771446;55;126;6529-6539;FIX;PW;PM
379197,03237687;6548854,18601816;56;126;6529-6534;FIX;PM;PR
367880,60021369;6572127,13065709;57;126;6392-6393;FIX;LX;LW
366663,10354873;6570880,23179697;58;126;6392-6402;FIX;LW;L6
368373,95397112;6575242,16472559;59;126;6361-6362;FIX;K4;K3
380201,15037113;6572209,41834862;60;126;6415-6416;FIX;MI;MJ
