XCoord;YCoord;knoopid;NETWERKID;NETWERK;code;STATUS;lon_x;lat_y
336836,55788230;6587015,15833608;6913;31;127;Fietsnetwerk Westhoek;R9;DEL;3,025854;50,994040
324440,23636787;6621771,45729192;5959;51;125;Fietsnetwerk Brugse Ommeland;AA;OUT;2,914496;51,190657
327241,45302727;6620852,45469073;5960;20;125;Fietsnetwerk Brugse Ommeland;AB;OUT;2,939660;51,185469
327149,92797859;6619668,05224245;5961;53;125;Fietsnetwerk Brugse Ommeland;AC;OUT;2,938838;51,178781
333339,24985812;6621149,05349166;5962;54;125;Fietsnetwerk Brugse Ommeland;AD;OUT;2,994437;51,187143
329195,54477716;6624463,95743173;5963;11;125;Fietsnetwerk Brugse Ommeland;AE;OUT;2,957214;51,205853
326808,14485130;6626430,06614192;5964;2;125;Fietsnetwerk Brugse Ommeland;AF;OUT;2,935768;51,216946
325568,44429510;6627792,84294446;5965;1;125;Fietsnetwerk Brugse Ommeland;AG;OUT;2,924631;51,224634
333055,68387507;6627736,35937536;5969;26;125;Fietsnetwerk Brugse Ommeland;AJ;OUT;2,991890;51,224316
339097,93832916;6632966,74687586;5971;13;125;Fietsnetwerk Brugse Ommeland;AK;OUT;3,046169;51,253810
337807,87999928;6635140,93145475;5972;7;125;Fietsnetwerk Brugse Ommeland;AL;OUT;3,034580;51,266064
337716,21060720;6636266,75553558;5973;6;125;Fietsnetwerk Brugse Ommeland;AM;OUT;3,033756;51,272408
332781,12075651;6631343,94655142;5974;5;125;Fietsnetwerk Brugse Ommeland;AN;OUT;2,989424;51,244661
327448,43145224;6627812,13534864;5976;3;125;Fietsnetwerk Brugse Ommeland;AO;OUT;2,941519;51,224743
334436,63464213;6629025,96434045;5977;12;125;Fietsnetwerk Brugse Ommeland;AP;OUT;3,004295;51,231589
341483,27912458;6639259,45580543;5978;9;125;Fietsnetwerk Brugse Ommeland;AQ;OUT;3,067596;51,289269
347068,24005066;6639758,67506783;5979;10;125;Fietsnetwerk Brugse Ommeland;AR;OUT;3,117767;51,292081
347614,04255290;6639986,28224571;5980;30;125;Fietsnetwerk Brugse Ommeland;AS;OUT;3,122670;51,293363
349553,15356058;6639929,24720173;5981;29;125;Fietsnetwerk Brugse Ommeland;AT;OUT;3,140089;51,293041
349899,74203359;6642263,69162759;5982;26;125;Fietsnetwerk Brugse Ommeland;AU;OUT;3,143203;51,306188
352703,50716988;6639562,96608007;5983;28;125;Fietsnetwerk Brugse Ommeland;AV;OUT;3,168390;51,290978
354364,40157993;6639426,86047443;5984;27;125;Fietsnetwerk Brugse Ommeland;AW;OUT;3,183310;51,290212
351833,93277749;6645180,01125841;5985;33;125;Fietsnetwerk Brugse Ommeland;AX;OUT;3,160578;51,322606
349013,56767560;6643520,38141663;5986;32;125;Fietsnetwerk Brugse Ommeland;AY;OUT;3,135242;51,313263
348625,33702191;6643320,84672774;5987;31;125;Fietsnetwerk Brugse Ommeland;AZ;OUT;3,131755;51,312140
359292,93661465;6648203,94943391;5988;36;125;Fietsnetwerk Brugse Ommeland;A0;OUT;3,227583;51,339623
360824,10077775;6643807,40254210;5989;38;125;Fietsnetwerk Brugse Ommeland;A1;OUT;3,241338;51,314879
364203,79573647;6645664,11317669;5991;40;125;Fietsnetwerk Brugse Ommeland;A3;OUT;3,271698;51,325330
363607,97070762;6646002,99889627;5990;39;125;Fietsnetwerk Brugse Ommeland;A2;OUT;3,266346;51,327238
366180,56750362;6649435,27852273;5992;42;125;Fietsnetwerk Brugse Ommeland;A4;OUT;3,289456;51,346551
362313,05170156;6648823,99830179;5993;37;125;Fietsnetwerk Brugse Ommeland;A5;OUT;3,254714;51,343112
370359,23482149;6649844,97474533;5994;46;125;Fietsnetwerk Brugse Ommeland;A6;OUT;3,326994;51,348856
368864,58626479;6647989,01499312;5995;43;125;Fietsnetwerk Brugse Ommeland;A7;OUT;3,313567;51,338414
368484,48307600;6645429,96342186;5996;44;125;Fietsnetwerk Brugse Ommeland;A8;OUT;3,310152;51,324013
370193,53730895;6644696,15854394;5997;47;125;Fietsnetwerk Brugse Ommeland;A9;OUT;3,325505;51,319882
375052,90512472;6645224,24531936;5998;53;125;Fietsnetwerk Brugse Ommeland;BA;OUT;3,369158;51,322855
374751,70648752;6647536,57691089;5999;50;125;Fietsnetwerk Brugse Ommeland;BB;OUT;3,366452;51,335868
370328,63652030;6650137,18153281;6001;45;125;Fietsnetwerk Brugse Ommeland;BC;OUT;3,326719;51,350499
373913,88592459;6647612,54313447;6002;51;125;Fietsnetwerk Brugse Ommeland;BD;OUT;3,358926;51,336295
373672,73442026;6647243,90279956;6004;52;125;Fietsnetwerk Brugse Ommeland;BE;OUT;3,356759;51,334221
330077,71442566;6614793,38095894;6005;31;125;Fietsnetwerk Brugse Ommeland;BF;OUT;2,965139;51,151249
331124,47111547;6613674,76572792;6006;32;125;Fietsnetwerk Brugse Ommeland;BG;OUT;2,974542;51,144929
332697,55046863;6611986,82286729;6007;34;125;Fietsnetwerk Brugse Ommeland;BH;OUT;2,988673;51,135390
325806,04485567;6610732,83814853;6009;24;127;Fietsnetwerk Westhoek;BJ;FIX;2,926765;51,128302
327816,42532648;6607798,35197708;6010;26;127;Fietsnetwerk Westhoek;BK;FIX;2,944825;51,111712
331045,96629146;6603818,37248762;6011;29;127;Fietsnetwerk Westhoek;BL;FIX;2,973837;51,089201
333368,33128934;6611434,43997650;6013;35;125;Fietsnetwerk Brugse Ommeland;BN;OUT;2,994699;51,132268
339078,01871686;6614707,47702189;6014;41;125;Fietsnetwerk Brugse Ommeland;BO;OUT;3,045990;51,150764
343115,90386456;6612946,63365130;6015;55;125;Fietsnetwerk Brugse Ommeland;BP;OUT;3,082263;51,140814
343997,74931888;6617469,09143718;6016;51;125;Fietsnetwerk Brugse Ommeland;BQ;OUT;3,090184;51,166364
344989,64159981;6617475,07590783;6017;54;125;Fietsnetwerk Brugse Ommeland;BR;OUT;3,099095;51,166397
344893,16887007;6621340,39127193;6018;53;125;Fietsnetwerk Brugse Ommeland;BS;OUT;3,098228;51,188223
338464,22734957;6620318,70231251;6019;44;125;Fietsnetwerk Brugse Ommeland;BT;OUT;3,040476;51,182455
338477,69570799;6618979,20633146;6020;45;125;Fietsnetwerk Brugse Ommeland;BU;OUT;3,040597;51,174892
337559,55643098;6618537,96358346;6021;38;125;Fietsnetwerk Brugse Ommeland;BV;OUT;3,032349;51,172400
337612,38428685;6616717,34856948;6022;39;125;Fietsnetwerk Brugse Ommeland;BW;OUT;3,032824;51,162118
334381,69427682;6625176,90599693;6023;29;125;Fietsnetwerk Brugse Ommeland;BX;OUT;3,003802;51,209876
334433,58884742;6625144,61531926;6024;42;125;Fietsnetwerk Brugse Ommeland;BY;OUT;3,004268;51,209694
333453,07090071;6621261,96686459;6025;30;125;Fietsnetwerk Brugse Ommeland;BZ;OUT;2,995460;51,187780
334665,30280145;6620740,71757529;6026;43;125;Fietsnetwerk Brugse Ommeland;B0;OUT;3,006350;51,184838
345340,67760066;6621562,61217602;6027;50;125;Fietsnetwerk Brugse Ommeland;B1;OUT;3,102248;51,189478
343276,40310764;6624058,42800790;6028;49;125;Fietsnetwerk Brugse Ommeland;B2;OUT;3,083704;51,203565
338355,11436647;6623526,50386995;6029;47;125;Fietsnetwerk Brugse Ommeland;B3;OUT;3,039496;51,200563
333820,33945647;6625994,88122903;6030;28;125;Fietsnetwerk Brugse Ommeland;B4;OUT;2,998759;51,214491
334427,40616815;6625318,85330805;6031;27;125;Fietsnetwerk Brugse Ommeland;B5;OUT;3,004213;51,210677
343283,09905911;6624140,20575822;6032;52;125;Fietsnetwerk Brugse Ommeland;B6;OUT;3,083765;51,204026
347946,96178058;6625026,02180804;6033;56;125;Fietsnetwerk Brugse Ommeland;B7;OUT;3,125661;51,209025
342488,67027953;6623919,11976214;6034;48;125;Fietsnetwerk Brugse Ommeland;B8;OUT;3,076628;51,202778
338507,50579014;6623621,29117434;6035;25;125;Fietsnetwerk Brugse Ommeland;B9;OUT;3,040865;51,201098
347265,76555624;6628741,11936554;6036;21;125;Fietsnetwerk Brugse Ommeland;CA;OUT;3,119541;51,229983
342683,29114009;6627870,59112986;6037;22;125;Fietsnetwerk Brugse Ommeland;CB;OUT;3,078376;51,225073
341991,56589832;6625902,32980872;6038;23;125;Fietsnetwerk Brugse Ommeland;CC;OUT;3,072163;51,213969
338856,05155734;6624895,25964303;6039;24;125;Fietsnetwerk Brugse Ommeland;CD;OUT;3,043996;51,208287
347062,16129191;6629580,31212993;6040;20;125;Fietsnetwerk Brugse Ommeland;CE;OUT;3,117712;51,234716
353266,69039048;6626443,87868859;6042;64;125;Fietsnetwerk Brugse Ommeland;CG;OUT;3,173449;51,217024
351498,30048621;6628967,47058338;6041;58;125;Fietsnetwerk Brugse Ommeland;CF;OUT;3,157563;51,231259
351448,72072086;6633173,05012270;6043;61;125;Fietsnetwerk Brugse Ommeland;CH;OUT;3,157118;51,254972
351215,86571453;6633519,74180135;6044;19;125;Fietsnetwerk Brugse Ommeland;CI;OUT;3,155026;51,256927
347747,85689543;6637067,24385809;6045;15;125;Fietsnetwerk Brugse Ommeland;CJ;OUT;3,123872;51,276919
351777,42767479;6635214,52167264;6046;18;125;Fietsnetwerk Brugse Ommeland;CK;OUT;3,160070;51,266479
354641,61537081;6630818,01776529;6048;41;125;Fietsnetwerk Brugse Ommeland;CM;OUT;3,185800;51,241695
356926,02607201;6628018,23312655;6047;62;125;Fietsnetwerk Brugse Ommeland;CL;OUT;3,206321;51,225906
357498,48423356;6635820,80619972;6049;24;125;Fietsnetwerk Brugse Ommeland;CN;OUT;3,211464;51,269895
353709,53822385;6632780,52980163;6050;40;125;Fietsnetwerk Brugse Ommeland;CO;OUT;3,177427;51,252760
361461,64847026;6632672,35143953;6051;12;125;Fietsnetwerk Brugse Ommeland;CP;OUT;3,247065;51,252150
363223,31728949;6630158,82663214;6052;10;125;Fietsnetwerk Brugse Ommeland;CQ;OUT;3,262891;51,237978
366437,18904300;6635403,12013124;6054;25;125;Fietsnetwerk Brugse Ommeland;CS;OUT;3,291761;51,267542
365129,37336378;6632718,07102729;6053;13;125;Fietsnetwerk Brugse Ommeland;CR;OUT;3,280013;51,252408
365748,76384041;6636355,13390830;6055;21;125;Fietsnetwerk Brugse Ommeland;CT;OUT;3,285577;51,272906
364277,60157375;6634444,80605320;6056;23;125;Fietsnetwerk Brugse Ommeland;CU;OUT;3,272361;51,262141
361667,17470203;6633064,65685699;6057;11;125;Fietsnetwerk Brugse Ommeland;CV;OUT;3,248912;51,254361
364226,98064525;6638275,09944810;6059;41;125;Fietsnetwerk Brugse Ommeland;CX;OUT;3,271907;51,283724
365236,44109634;6637097,54934186;6058;22;125;Fietsnetwerk Brugse Ommeland;CW;OUT;3,280975;51,277090
369695,37574797;6633487,33536942;6061;59;125;Fietsnetwerk Brugse Ommeland;CZ;OUT;3,321030;51,256744
371667,04957464;6632434,21956221;6062;63;125;Fietsnetwerk Brugse Ommeland;C0;OUT;3,338742;51,250808
371758,82466256;6632380,55252426;6063;58;125;Fietsnetwerk Brugse Ommeland;C1;OUT;3,339566;51,250505
366938,61735791;6634950,20101978;6060;16;125;Fietsnetwerk Brugse Ommeland;CY;OUT;3,296266;51,264989
367071,35797979;6635323,31895128;6064;17;125;Fietsnetwerk Brugse Ommeland;C2;OUT;3,297458;51,267092
365855,88399696;6636538,67918169;6065;20;125;Fietsnetwerk Brugse Ommeland;C3;OUT;3,286539;51,273941
374019,71920377;6641271,40602202;6066;57;125;Fietsnetwerk Brugse Ommeland;C4;OUT;3,359876;51,300600
373844,47474356;6641531,09215461;6067;54;125;Fietsnetwerk Brugse Ommeland;C5;OUT;3,358302;51,302063
371447,25368022;6639671,23282676;6068;55;125;Fietsnetwerk Brugse Ommeland;C6;OUT;3,336767;51,291588
371129,02372730;6639451,59114217;6069;56;125;Fietsnetwerk Brugse Ommeland;C7;OUT;3,333909;51,290351
367798,96348776;6636308,72099498;6070;18;125;Fietsnetwerk Brugse Ommeland;C8;OUT;3,303994;51,272645
367589,69800149;6636993,22797079;6071;19;125;Fietsnetwerk Brugse Ommeland;C9;OUT;3,302114;51,276502
347941,86461273;6624920,36073862;6072;57;125;Fietsnetwerk Brugse Ommeland;DA;OUT;3,125615;51,208428
349349,81480305;6623727,78319450;6073;67;125;Fietsnetwerk Brugse Ommeland;DB;OUT;3,138263;51,201699
349797,30382968;6621462,08439978;6074;68;125;Fietsnetwerk Brugse Ommeland;DC;OUT;3,142283;51,188910
351733,57741610;6618220,86529835;6075;71;125;Fietsnetwerk Brugse Ommeland;DD;OUT;3,159676;51,170609
351547,71703827;6618020,74967013;6076;72;125;Fietsnetwerk Brugse Ommeland;DE;OUT;3,158007;51,169479
353615,53223931;6615770,97381209;6077;96;125;Fietsnetwerk Brugse Ommeland;DF;OUT;3,176582;51,156772
354779,23017041;6615907,60587485;6078;97;125;Fietsnetwerk Brugse Ommeland;DG;OUT;3,187036;51,157544
354950,48734205;6617518,84074502;6080;99;125;Fietsnetwerk Brugse Ommeland;DI;OUT;3,188574;51,166645
354501,73793979;6620853,13429837;6079;70;125;Fietsnetwerk Brugse Ommeland;DH;OUT;3,184543;51,185472
354976,11455031;6621433,02744597;6081;69;125;Fietsnetwerk Brugse Ommeland;DJ;OUT;3,188805;51,188746
353156,77302334;6625044,06683376;6082;26;125;Fietsnetwerk Brugse Ommeland;DK;OUT;3,172461;51,209126
353363,44834888;6626377,40408587;6083;65;125;Fietsnetwerk Brugse Ommeland;DL;OUT;3,174318;51,216649
359958,11984798;6627107,73210970;6089;3;125;Fietsnetwerk Brugse Ommeland;DR;OUT;3,233559;51,220770
359880,38013135;6627186,02992292;6090;2;125;Fietsnetwerk Brugse Ommeland;DS;OUT;3,232860;51,221211
358625,14655505;6627269,65985816;6091;1;125;Fietsnetwerk Brugse Ommeland;DT;OUT;3,221585;51,221683
357679,69492415;6624279,25653141;6086;7;125;Fietsnetwerk Brugse Ommeland;DO;OUT;3,213091;51,204811
357948,55751384;6623512,75441054;6087;6;125;Fietsnetwerk Brugse Ommeland;DP;OUT;3,215507;51,200485
359493,75069475;6623391,10047982;6088;5;125;Fietsnetwerk Brugse Ommeland;DQ;OUT;3,229387;51,199798
356485,50073788;6626446,07308059;6085;4;125;Fietsnetwerk Brugse Ommeland;DN;OUT;3,202364;51,217037
356285,48275584;6626424,44883142;6084;63;125;Fietsnetwerk Brugse Ommeland;DM;OUT;3,200567;51,216915
365597,40878719;6631798,33069521;6093;15;125;Fietsnetwerk Brugse Ommeland;DV;OUT;3,284217;51,247223
362299,01392431;6627574,89031430;6092;8;125;Fietsnetwerk Brugse Ommeland;DU;OUT;3,254587;51,223405
369504,23390423;6632583,65336548;6095;60;125;Fietsnetwerk Brugse Ommeland;DX;OUT;3,319313;51,251650
