FID,code,id,oldnr,newnr,oldstatus,newstatus,change,ok
983,10,0,0,66,NEW,FIX,1,1
984,11,0,0,27,NEW,FIX,1,1
985,12,0,0,14,NEW,FIX,1,1
986,13,0,0,97,NEW,FIX,1,1
987,14,0,0,24,NEW,FIX,1,1
988,15,0,0,86,NEW,FIX,1,1
989,16,0,0,67,NEW,FIX,1,1
990,17,0,0,61,NEW,FIX,1,1
991,18,0,0,1,NEW,FIX,1,1
992,19,0,0,47,NEW,FIX,1,1
1019,20,0,0,2,NEW,FIX,1,1
1020,21,0,0,29,NEW,FIX,1,1
1021,22,0,0,59,NEW,FIX,1,1
1022,23,0,0,78,NEW,FIX,1,1
1023,24,0,0,47,NEW,FIX,1,1
1024,25,0,0,57,NEW,FIX,1,1
1025,26,0,0,97,NEW,FIX,1,1
1155,27,0,0,63,NEW,FIX,1,1
1156,28,0,0,44,NEW,FIX,1,1
1026,29,0,0,4,NEW,FIX,1,1
1047,30,0,0,8,NEW,FIX,1,1
1048,31,0,0,94,NEW,FIX,1,1
1049,32,0,0,59,NEW,FIX,1,1
1050,33,0,0,21,NEW,FIX,1,1
1060,34,0,0,58,NEW,FIX,1,1
1061,35,0,0,13,NEW,FIX,1,1
1057,36,0,0,63,NEW,FIX,1,1
1157,37,0,0,58,NEW,FIX,1,1
1058,38,0,0,88,NEW,FIX,1,1
1059,39,0,0,18,NEW,FIX,1,1
1086,40,0,0,18,NEW,FIX,1,1
1084,41,0,0,57,NEW,FIX,1,1
1085,42,0,0,38,NEW,FIX,1,1
1090,43,0,0,80,NEW,FIX,1,1
1091,44,0,0,17,NEW,FIX,1,1
1029,45,0,0,52,NEW,FIX,1,1
1092,46,0,0,23,NEW,FIX,1,1
1095,47,0,0,48,NEW,FIX,1,1
1093,48,0,0,36,NEW,FIX,1,1
1094,49,0,0,66,NEW,FIX,1,1
1117,50,0,0,50,NEW,FIX,1,1
1116,51,0,0,97,NEW,FIX,1,1
1127,52,0,0,26,NEW,FIX,1,1
1121,53,0,0,23,NEW,FIX,1,1
1126,54,0,0,65,NEW,FIX,1,1
1124,55,0,0,9,NEW,FIX,1,1
1123,56,0,0,70,NEW,FIX,1,1
1125,57,0,0,46,NEW,FIX,1,1
1128,58,0,0,66,NEW,FIX,1,1
1130,59,0,0,69,NEW,FIX,1,1
0,R9,6913,31,-1,DEL,DEL,1,1
1,AA,5959,51,46,IN,FIX,1,1
2,AB,5960,20,20,IN,FIX,0,1
3,AC,5961,53,83,IN,FIX,1,1
4,AD,5962,54,94,IN,FIX,1,1
5,AE,5963,11,11,IN,FIX,0,1
6,AF,5964,2,15,IN,FIX,1,1
7,AG,5965,1,1,IN,FIX,0,1
8,AJ,5969,26,26,IN,FIX,0,1
9,AK,5971,13,98,IN,FIX,1,1
