FID,pid,code,startcode,endcode,startnr,endr,oldstatus,newstatus,change,ok
0,6360-6360,NIV.0,#N/A,#N/A,-1,100,NIV,DEL,0,1
1,6360-6365,K2-K7,K2,K7,24,53,FIX,FIX,1,1
2,6342-6365,DEL.KM-K7,KM,K7,53,61,DEL,DEL,1,1
3,6342-6361,DEL.KM-K3,KM,K3,61,73,DEL,DEL,1,1
4,6361-6403,K3-L7,K3,L7,14,73,FIX,FIX,1,1
5,6403-6407,DEL.L7-MB,L7,MB,14,71,DEL,DEL,1,1
6,6398-6407,DEL.L2-MB,L2,MB,29,71,DEL,DEL,1,1
7,6396-6398,L0-L2,L0,L2,23,29,FIX,FIX,1,1
8,6394-6396,DEL.LY-L0,LY,L0,-1,23,DEL,DEL,1,1
9,6394-6395,DEL.LY-LZ,LY,LZ,-1,59,DEL,DEL,1,1
10,6395-6413,LZ-MG,LZ,MG,54,59,FIX,FIX,1,1
11,6413-6425,MG-MS,MG,MS,54,84,FIX,FIX,1,1
12,6415-6425,MI-MS,MI,MS,80,84,FIX,FIX,1,1
13,6411-6415,DEL.MF-MI,MF,MI,5,80,DEL,DEL,0,1
14,6367-6368,DEL.K9-LA,K9,LA,-1,-1,DEL,DEL,1,1
15,6366-6366,NIV.15,#N/A,#N/A,-1,100,NIV,DEL,0,1
16,6480-6480,NIV.16,#N/A,#N/A,-1,100,NIV,DEL,0,1
17,6480-6484,OB-OF,OB,OF,15,18,FIX,FIX,0,1
18,6484-6485,DEL.OF-OG,OF,OG,15,16,DEL,DEL,0,1
19,6485-6486,OG-OH,OG,OH,16,19,FIX,FIX,0,1
20,6486-6486,NIV.20,#N/A,#N/A,-1,100,NIV,DEL,0,1
21,6542-6542,NIV.21,#N/A,#N/A,-1,100,NIV,DEL,0,1
22,6536-6542,PT-PZ,PT,PZ,60,76,FIX,FIX,1,1
23,6520-6536,PD-PT,PD,PT,61,76,FIX,FIX,0,1
24,6519-6520,PC-PD,PC,PD,61,77,FIX,FIX,1,1
25,6508-6519,O3-PC,O3,PC,57,77,FIX,FIX,1,1
26,6504-6508,OZ-O3,OZ,O3,30,57,FIX,FIX,1,1
27,6503-6504,OY-OZ,OY,OZ,30,62,FIX,FIX,1,1
28,6501-6503,DEL.OW-OY,OW,OY,54,62,DEL,DEL,1,1
29,6468-6501,NZ-OW,NZ,OW,54,92,FIX,FIX,1,1
30,6456-6468,DEL.NN-NZ,NN,NZ,-1,92,DEL,DEL,1,1
31,6455-6456,DEL.NM-NN,NM,NN,-1,49,DEL,DEL,1,1
32,6453-6455,DEL.NK-NM,NK,NM,-1,49,DEL,DEL,1,1
33,6452-6453,DEL.NJ-NK,NJ,NK,-1,-1,DEL,DEL,1,1
34,6452-6456,DEL.NJ-NN,NJ,NN,-1,-1,DEL,DEL,1,1
35,6477-6477,NIV.35,#N/A,#N/A,-1,100,NIV,DEL,0,1
36,6476-6477,DEL.N7-N8,N7,N8,13,64,DEL,DEL,1,1
37,6466-6476,NX-N7,NX,N7,46,64,FIX,FIX,1,1
38,6454-6466,DEL.NL-NX,NL,NX,-1,46,DEL,DEL,1,1
39,6454-6454,NIV.39,#N/A,#N/A,-1,100,NIV,DEL,0,1
40,6515-6515,NIV.40,#N/A,#N/A,-1,100,NIV,DEL,0,1
41,6515-6516,O8-O9,O8,O9,21,67,FIX,FIX,1,1
42,6516-6534,O9-PR,O9,PR,67,70,FIX,FIX,1,1
43,6534-6535,PR-PS,PR,PS,70,78,FIX,FIX,1,1
44,6513-6535,O6-PS,O6,PS,63,78,FIX,FIX,1,1
45,6513-6514,O6-O7,O6,O7,58,63,FIX,FIX,1,1
46,6510-6514,DEL.O5-O7,O5,O7,58,75,DEL,DEL,1,1
47,6509-6510,O4-O5,O4,O5,50,75,FIX,FIX,1,1
48,6509-6518,O4-PB,O4,PB,50,69,FIX,FIX,1,1
